Symbol,Time,Open,High,Low,Close,Volume,Ticker
QBS,2023-12-22,2390,2390,2340,2360,176500,QBS
QCG,2023-12-22,11100,11100,10800,10800,643800,QCG
QHD,2023-12-22,36600,36600,36600,36600,100,QHD
QNC,2023-12-22,8000,8000,8000,8000,2500,QNC
QNS,2023-12-22,45100,45100,44700,44800,382800,QNS
QPH,2023-12-22,25000,27000,25000,27000,2900,QPH
QTP,2023-12-22,14400,14500,14300,14500,76200,QTP
RAL,2023-12-22,105900,108000,105100,106600,57400,RAL
RBC,2023-12-22,3900,3900,3900,3900,100,RBC
RCC,2023-12-22,18900,18900,14700,14700,78900,RCC
RDP,2023-12-22,9430,9430,9300,9400,282000,RDP
REE,2023-12-22,56700,56700,55800,55800,383200,REE
RGC,2023-12-22,4300,4600,4100,4600,18900,RGC
RIC,2023-12-22,4100,4300,4000,4100,12400,RIC
RTB,2023-12-22,17500,17500,17500,17500,800,RTB
S12,2023-12-22,1300,1500,1300,1500,200,S12
S4A,2023-12-22,33950,33950,33950,33950,200,S4A
S99,2023-12-22,9000,9200,8900,9100,91900,S99
SAB,2023-12-22,62000,62100,61500,61500,639900,SAB
SAC,2023-12-22,8600,8600,8600,8600,500,SAC
SAF,2023-12-22,46600,46600,46600,46600,200,SAF
SAM,2023-12-22,6400,6420,6380,6400,327100,SAM
SAS,2023-12-22,24500,24600,24500,24600,3700,SAS
SAV,2023-12-22,15000,15000,14400,14700,178100,SAV
SBA,2023-12-22,25400,25700,25050,25600,9300,SBA
SBB,2023-12-22,15300,15900,15200,15900,328400,SBB
SBG,2023-12-22,16250,16350,16000,16200,166400,SBG
SBR,2023-12-22,6200,6300,6200,6300,900,SBR
SBS,2023-12-22,7200,7300,7200,7200,1067000,SBS
SBT,2023-12-22,13250,13350,13200,13300,562600,SBT
SBV,2023-12-22,9890,9980,9800,9800,1600,SBV
SC5,2023-12-22,19000,19000,19000,19000,500,SC5
SCD,2023-12-22,13600,15550,13600,15550,200,SCD
SCG,2023-12-22,66300,66500,66100,66500,70000,SCG
SCI,2023-12-22,12200,12600,12200,12300,34300,SCI
SCJ,2023-12-22,3900,4100,3900,4100,1200,SCJ
SCL,2023-12-22,19300,19700,19000,19400,17400,SCL
SCR,2023-12-22,7230,7260,7100,7130,1315700,SCR
SCS,2023-12-22,66600,67000,65800,66000,29600,SCS
SCY,2023-12-22,10500,10500,10500,10500,1600,SCY
SD2,2023-12-22,4300,4400,4300,4400,900,SD2
SD3,2023-12-22,5100,5100,5100,5100,3700,SD3
SD4,2023-12-22,2800,2800,2800,2800,100,SD4
SD5,2023-12-22,7200,7400,7200,7300,7400,SD5
SD6,2023-12-22,3500,3600,3500,3600,11700,SD6
SD7,2023-12-22,3400,3400,3400,3400,10000,SD7
SD9,2023-12-22,8000,8200,8000,8200,6400,SD9
SDA,2023-12-22,6200,6500,6200,6400,57900,SDA
SDC,2023-12-22,8400,8400,8400,8400,100,SDC
SDD,2023-12-22,1900,2000,1900,1900,12900,SDD
SDP,2023-12-22,1000,1100,900,1100,25800,SDP
SDT,2023-12-22,3900,4000,3900,3900,10800,SDT
SDU,2023-12-22,19900,19900,16700,18900,2300,SDU
SDV,2023-12-22,30000,30200,30000,30200,21000,SDV
SDY,2023-12-22,1000,1100,1000,1000,7300,SDY
SEA,2023-12-22,27800,30500,27800,30500,96400,SEA
SEB,2023-12-22,45000,45000,44500,44500,1000,SEB
SED,2023-12-22,18600,18800,18600,18800,1300,SED
SFC,2023-12-22,23300,24300,23300,24300,5700,SFC
SFG,2023-12-22,8600,8600,7740,8380,7600,SFG
SFI,2023-12-22,31300,31450,31100,31400,8900,SFI
SGB,2023-12-22,12700,12800,12300,12600,39000,SGB
SGI,2023-12-22,15300,15300,15300,15300,100,SGI
SGN,2023-12-22,67200,67200,67000,67000,700,SGN
SGP,2023-12-22,16300,16300,16200,16300,22800,SGP
SGR,2023-12-22,20900,20900,20400,20700,17600,SGR
SGS,2023-12-22,16200,17100,16200,17100,1200,SGS
SGT,2023-12-22,11850,11900,11750,11800,10000,SGT
SHA,2023-12-22,4630,4640,4620,4640,6900,SHA
SHB,2023-12-22,10700,10800,10650,10700,10060700,SHB
SHC,2023-12-22,10100,10100,10100,10100,1000,SHC
SHE,2023-12-22,8900,8900,8600,8800,1800,SHE
SHG,2023-12-22,3100,3100,3100,3100,7800,SHG
SHI,2023-12-22,13700,13700,13550,13600,109000,SHI
SHN,2023-12-22,7000,7000,6700,6900,1500,SHN
SHP,2023-12-22,29750,29950,29750,29900,16000,SHP
SHS,2023-12-22,18500,19100,18300,18500,31968200,SHS
SID,2023-12-22,14000,14000,14000,14000,1000,SID
SIP,2023-12-22,58000,58000,57200,57900,34800,SIP
SJC,2023-12-22,14500,14700,13700,13700,3200,SJC
SJD,2023-12-22,15000,15000,14850,14950,87000,SJD
SJE,2023-12-22,21500,21500,21500,21500,4000,SJE
SJM,2023-12-22,5400,5500,5400,5500,2100,SJM
SJS,2023-12-22,70900,70900,68200,69000,238600,SJS
SKG,2023-12-22,14650,14750,14450,14700,195200,SKG
SKH,2023-12-22,27900,27900,27800,27900,1300,SKH
SKV,2023-12-22,49000,49700,48500,48500,1400,SKV
SLS,2023-12-22,141300,141500,140700,141000,4100,SLS
SMA,2023-12-22,8280,8280,8280,8280,100,SMA
SMB,2023-12-22,36950,36950,36750,36750,2200,SMB
SMC,2023-12-22,10200,10200,10050,10100,140500,SMC
SMN,2023-12-22,12700,12800,12700,12800,5400,SMN
SMT,2023-12-22,5700,5700,5600,5600,1100,SMT
SNC,2023-12-22,21300,21300,21300,21300,100,SNC
SPD,2023-12-22,9800,9800,9800,9800,1900,SPD
SPI,2023-12-22,3200,3200,3100,3100,13000,SPI
SPM,2023-12-22,11700,11700,11700,11700,300,SPM
SRA,2023-12-22,3600,3700,3500,3600,456300,SRA
SRB,2023-12-22,2000,2100,2000,2100,1100,SRB
SRC,2023-12-22,26000,27100,26000,27000,13900,SRC
SRF,2023-12-22,7520,8000,7510,7800,34800,SRF
SRT,2023-12-22,5700,5800,5700,5700,2500,SRT
SSB,2023-12-22,22600,22650,22400,22600,1245500,SSB
SSC,2023-12-22,29000,29000,28800,28800,1300,SSC
SSG,2023-12-22,9300,10000,9300,9700,9700,SSG
SSH,2023-12-22,64500,64500,64000,64099,62500,SSH
SSI,2023-12-22,32350,32950,32200,32350,17457600,SSI
SSN,2023-12-22,1400,1600,1400,1500,1400,SSN
ST8,2023-12-22,18300,18350,18100,18100,176700,ST8
STB,2023-12-22,26600,27450,26300,27200,22251300,STB
STG,2023-12-22,46000,46000,46000,46000,200,STG
STH,2023-12-22,13800,14400,13500,14400,18300,STH
STK,2023-12-22,25500,25950,25300,25400,23000,STK
STT,2023-12-22,1800,1800,1800,1800,2100,STT
SVC,2023-12-22,28900,29950,28900,29950,2300,SVC
SVD,2023-12-22,2530,2570,2400,2420,85100,SVD
SVI,2023-12-22,56700,56700,56700,56700,100,SVI
SVN,2023-12-22,3800,4000,3800,3900,5600,SVN
SVT,2023-12-22,10850,10850,10850,10850,4300,SVT
SWC,2023-12-22,23200,23200,23000,23200,1900,SWC
SZB,2023-12-22,31300,31300,31300,31300,600,SZB
SZC,2023-12-22,43000,44350,43000,43700,2120400,SZC
SZL,2023-12-22,37000,37150,36500,36800,1100,SZL
TA9,2023-12-22,10300,10400,10300,10300,21900,TA9
TAR,2023-12-22,8900,9300,8900,8900,801100,TAR
TBH,2023-12-22,27900,27900,27900,27900,100,TBH
TBR,2023-12-22,7000,7000,7000,7000,2000,TBR
TC6,2023-12-22,8100,8200,8000,8100,57800,TC6
TCB,2023-12-22,30500,30800,30450,30600,1853900,TCB
TCD,2023-12-22,7050,7090,7010,7010,588500,TCD
TCH,2023-12-22,13250,13500,12950,13150,9073000,TCH
TCI,2023-12-22,12400,13200,12400,12900,900400,TCI
TCL,2023-12-22,37450,37450,36850,37000,11400,TCL
TCM,2023-12-22,40600,41050,40600,41000,463000,TCM
TCO,2023-12-22,9250,9250,8960,9000,12300,TCO
TCR,2023-12-22,3380,3380,3140,3360,400,TCR
TCT,2023-12-22,22400,22400,22300,22400,1000,TCT
TCW,2023-12-22,26800,26800,26800,26800,100,TCW
TDB,2023-12-22,39000,39000,39000,39000,100,TDB
TDC,2023-12-22,9760,9840,9680,9700,321600,TDC
TDG,2023-12-22,3710,3780,3700,3710,33300,TDG
TDH,2023-12-22,4700,4700,4620,4630,80600,TDH
TDM,2023-12-22,40900,41500,40900,41200,50400,TDM
TDN,2023-12-22,10100,10100,10000,10000,8000,TDN
TDP,2023-12-22,29900,29950,28700,28700,71300,TDP
TDT,2023-12-22,6700,6700,6600,6600,37600,TDT
TEG,2023-12-22,9800,9800,9700,9700,17900,TEG
TFC,2023-12-22,7900,8000,7900,8000,5100,TFC
TGP,2023-12-22,4600,4600,4600,4600,300,TGP
TH1,2023-12-22,2500,2500,2500,2500,300,TH1
THB,2023-12-22,11000,11000,11000,11000,300,THB
THD,2023-12-22,35000,35100,34900,35100,4400,THD
THG,2023-12-22,38750,39000,38600,39000,20300,THG
THM,2023-12-22,13300,13300,13300,13300,800,THM
THT,2023-12-22,12800,12800,12800,12800,5400,THT
TID,2023-12-22,23600,23600,23600,23600,100,TID
TIE,2023-12-22,5100,5100,5100,5100,100,TIE
TIG,2023-12-22,11900,12200,11800,11900,1713500,TIG
TIP,2023-12-22,23850,24450,23800,24300,240500,TIP
TIS,2023-12-22,4200,4300,4100,4200,15200,TIS
TKG,2023-12-22,6900,7100,6900,6900,251500,TKG
TKU,2023-12-22,10700,10700,10700,10700,700,TKU
TL4,2023-12-22,6800,6800,6800,6800,3300,TL4
TLD,2023-12-22,5330,5340,5290,5310,231600,TLD
TLG,2023-12-22,49400,49400,48700,49400,24300,TLG
TLH,2023-12-22,8200,8480,8200,8240,903400,TLH
TLP,2023-12-22,7000,7000,6800,6800,5100,TLP
TMB,2023-12-22,40700,40700,40300,40600,1000,TMB
TMG,2023-12-22,47000,47000,47000,47000,100,TMG
TMP,2023-12-22,62000,62300,62000,62300,2100,TMP
TMS,2023-12-22,42200,45000,41500,45000,13000,TMS
TMT,2023-12-22,15550,15700,15350,15400,20800,TMT
TMX,2023-12-22,12100,12100,12100,12100,100,TMX
TN1,2023-12-22,15750,15750,15750,15750,200,TN1
TNA,2023-12-22,5630,5630,5500,5630,7000,TNA
TNC,2023-12-22,61000,65600,61000,65600,200,TNC
TNG,2023-12-22,20000,20100,19600,19700,1732300,TNG
TNH,2023-12-22,20400,20550,20200,20500,320400,TNH
TNI,2023-12-22,2690,2690,2660,2680,24700,TNI
TNS,2023-12-22,2400,2500,2400,2400,18000,TNS
TNT,2023-12-22,4640,4650,4530,4650,227000,TNT
TNW,2023-12-22,9000,9000,9000,9000,200,TNW
TOP,2023-12-22,900,1100,900,1100,129200,TOP
TOS,2023-12-22,33600,34600,33600,34600,600,TOS
TOT,2023-12-22,18200,18200,18200,18200,100,TOT
TOW,2023-12-22,17200,17200,17200,17200,200,TOW
TPB,2023-12-22,16900,16950,16750,16900,2372900,TPB
TPC,2023-12-22,5880,5880,5800,5800,200,TPC
TRA,2023-12-22,85000,86800,85000,86800,11500,TRA
TRC,2023-12-22,31600,31600,31100,31100,93600,TRC
TS3,2023-12-22,4400,4400,4300,4300,400,TS3
TSB,2023-12-22,44100,44200,44000,44200,3800,TSB
TSC,2023-12-22,3750,3780,3700,3720,590800,TSC
TSJ,2023-12-22,39600,39600,39600,39600,1000,TSJ
TST,2023-12-22,2500,2900,2500,2900,2200,TST
TTA,2023-12-22,8000,8050,7950,7960,927800,TTA
TTD,2023-12-22,73500,73500,73500,73500,100,TTD
TTF,2023-12-22,4150,4210,4100,4130,773600,TTF
TTH,2023-12-22,3800,3900,3700,3800,294900,TTH
TTL,2023-12-22,8500,8800,7500,8800,5100,TTL
TTN,2023-12-22,7900,8000,7900,7900,23800,TTN
TV1,2023-12-22,17900,18000,17400,18000,2800,TV1
TV2,2023-12-22,38900,39200,38800,38800,172500,TV2
TV3,2023-12-22,11000,11000,11000,11000,15300,TV3
TV4,2023-12-22,12400,12500,12400,12500,4900,TV4
TV6,2023-12-22,4000,4000,4000,4000,100,TV6
TVB,2023-12-22,5200,5480,5180,5400,215100,TVB
TVC,2023-12-22,5600,6100,5600,6000,917700,TVC
TVD,2023-12-22,13700,14000,13500,13700,83600,TVD
TVN,2023-12-22,6400,6400,6200,6300,109700,TVN
TVS,2023-12-22,20000,20100,19900,19900,16600,TVS
TVT,2023-12-22,15900,16100,15900,16100,10700,TVT
TW3,2023-12-22,16000,16000,13600,13600,200,TW3
TXM,2023-12-22,4400,4400,4100,4100,900,TXM
TYA,2023-12-22,10000,10000,10000,10000,100,TYA
UDC,2023-12-22,4000,4000,3800,3900,10500,UDC
UDJ,2023-12-22,8800,9000,8800,9000,39500,UDJ
UEM,2023-12-22,10100,10100,10000,10000,29600,UEM
UIC,2023-12-22,32000,32000,31850,31850,1100,UIC
UNI,2023-12-22,8000,8000,8000,8000,1500,UNI
V11,2023-12-22,500,500,300,500,5200,V11
VAB,2023-12-22,6900,7100,6900,7000,1077900,VAB
VBB,2023-12-22,8600,9600,8600,9600,12800,VBB
VC1,2023-12-22,8600,8600,8600,8600,200,VC1
VC2,2023-12-22,10200,10300,10100,10200,107400,VC2
VC3,2023-12-22,25000,25000,24500,24600,670800,VC3
VC7,2023-12-22,14700,14700,14500,14500,235600,VC7
VC9,2023-12-22,5300,5600,5300,5600,600,VC9
VCA,2023-12-22,8520,8690,8510,8550,8600,VCA
VCB,2023-12-22,80900,81100,80400,80900,1579800,VCB
VCC,2023-12-22,13800,13800,12300,12300,2400,VCC
VCF,2023-12-22,184000,184000,184000,184000,500,VCF
VCG,2023-12-22,24150,24300,23800,24100,4049600,VCG
VCI,2023-12-22,41600,41950,40600,41000,3454600,VCI
VCP,2023-12-22,22000,22500,22000,22500,2000,VCP
VCR,2023-12-22,24200,26000,24200,24900,12200,VCR
VCS,2023-12-22,55000,55000,54100,54500,24300,VCS
VCX,2023-12-22,4500,4500,4000,4000,63300,VCX
VDS,2023-12-22,17200,17200,16500,17000,336700,VDS
VE3,2023-12-22,11200,11200,10300,10300,900,VE3
VE8,2023-12-22,4700,4700,4500,4600,32500,VE8
VE9,2023-12-22,2400,2400,2200,2200,1100,VE9
VEA,2023-12-22,34000,34300,34000,34100,524000,VEA
VEF,2023-12-22,112300,113000,111300,113000,4600,VEF
VET,2023-12-22,29300,30300,29300,29900,3700,VET
VFG,2023-12-22,35600,36000,35600,36000,1900,VFG
VFS,2023-12-22,18200,20000,18000,19700,930400,VFS
VGC,2023-12-22,53900,54300,53000,53300,498000,VGC
VGG,2023-12-22,35400,35400,35100,35100,600,VGG
VGI,2023-12-22,25300,25700,25300,25500,425400,VGI
VGP,2023-12-22,30800,30800,27100,30600,2400,VGP
VGR,2023-12-22,36100,37300,36100,37000,30700,VGR
VGS,2023-12-22,22500,23400,22500,22800,617900,VGS
VGT,2023-12-22,11800,11800,11700,11700,68800,VGT
VGV,2023-12-22,30300,30300,29200,30000,3300,VGV
VHC,2023-12-22,73400,73500,72400,72400,415800,VHC
VHE,2023-12-22,3100,3200,3000,3100,53200,VHE
VHG,2023-12-22,2700,2800,2600,2700,838300,VHG
VHL,2023-12-22,14000,14400,14000,14400,10700,VHL
VHM,2023-12-22,40200,40400,40000,40300,3289400,VHM
VIB,2023-12-22,18800,18900,18600,18750,1881200,VIB
VIC,2023-12-22,43200,43350,42750,43150,2001100,VIC
VID,2023-12-22,5100,5110,5050,5110,2200,VID
VIF,2023-12-22,17700,17700,17700,17700,1000,VIF
VIG,2023-12-22,7800,7900,7600,7600,247800,VIG
VIH,2023-12-22,10000,10000,10000,10000,56200,VIH
VIP,2023-12-22,11200,11200,11100,11200,104500,VIP
VIT,2023-12-22,17400,17400,17400,17400,8500,VIT
VIX,2023-12-22,16900,17150,16650,16700,19619900,VIX
VJC,2023-12-22,105500,106200,105100,106200,708900,VJC
VKC,2023-12-22,800,900,800,900,454200,VKC
VLA,2023-12-22,16600,19800,16500,19800,1500,VLA
VLB,2023-12-22,35000,35100,34900,35100,58900,VLB
VLC,2023-12-22,15700,16200,15700,16100,40300,VLC
VLF,2023-12-22,900,900,900,900,20200,VLF
VLG,2023-12-22,3700,3700,3600,3600,5800,VLG
VMC,2023-12-22,8100,8200,8100,8200,6100,VMC
VMD,2023-12-22,16750,16750,16149,16200,31100,VMD
VMG,2023-12-22,3400,3500,3200,3500,73300,VMG
VNA,2023-12-22,20000,20000,18500,20000,2400,VNA
VNB,2023-12-22,8900,8900,8800,8800,60500,VNB
VNC,2023-12-22,47500,47500,47500,47500,8000,VNC
VND,2023-12-22,21800,22150,21500,21500,19702700,VND
VNE,2023-12-22,6850,6850,6670,6670,772700,VNE
VNF,2023-12-22,7900,8000,7900,7900,400,VNF
VNG,2023-12-22,8390,8950,8390,8950,82800,VNG
VNH,2023-12-22,2300,2300,2300,2300,50200,VNH
VNL,2023-12-22,13950,14150,13900,14150,6500,VNL
VNM,2023-12-22,67800,68100,67500,67600,2145700,VNM
VNP,2023-12-22,12600,12600,12500,12500,700,VNP
VNR,2023-12-22,23000,23000,22800,23000,7500,VNR
VNS,2023-12-22,13050,13150,13000,13000,25300,VNS
VNT,2023-12-22,39100,39100,39100,39100,100,VNT
VNZ,2023-12-22,690000,690000,680000,680000,900,VNZ
VOC,2023-12-22,20200,20200,20100,20200,1700,VOC
VOS,2023-12-22,11350,11400,11050,11100,1043200,VOS
VPB,2023-12-22,18200,18350,18050,18150,10359500,VPB
VPC,2023-12-22,1700,1700,1700,1700,300,VPC
VPD,2023-12-22,23100,23500,23100,23200,5800,VPD
VPG,2023-12-22,16600,16650,16300,16450,557500,VPG
VPH,2023-12-22,8150,8200,8029,8100,217500,VPH
VPI,2023-12-22,54400,54600,53500,54500,962000,VPI
VPS,2023-12-22,10050,10050,10050,10050,200,VPS
VRC,2023-12-22,8270,8270,7880,8100,9100,VRC
VRE,2023-12-22,22950,23000,22700,22950,1890300,VRE
VRG,2023-12-22,27400,28000,27400,27700,11300,VRG
VSA,2023-12-22,21200,21200,21200,21200,100,VSA
VSC,2023-12-22,29600,29600,29100,29200,263300,VSC
VSE,2023-12-22,6400,6500,6400,6500,700,VSE
VSF,2023-12-22,37800,38000,37000,37500,4700,VSF
VSH,2023-12-22,46000,46450,46000,46300,24500,VSH
VSM,2023-12-22,17000,17000,17000,17000,1000,VSM
VSN,2023-12-22,19600,19600,19600,19600,15200,VSN
VST,2023-12-22,2600,2800,2600,2800,13500,VST
VTA,2023-12-22,3900,4000,3900,4000,300,VTA
VTB,2023-12-22,10850,11500,10800,11500,10900,VTB
VTC,2023-12-22,8800,10100,8800,10100,300,VTC
VTD,2023-12-22,7600,7600,7500,7500,39500,VTD
VTG,2023-12-22,8300,8300,8300,8300,100,VTG
VTH,2023-12-22,9700,9800,9700,9700,4000,VTH
VTI,2023-12-22,7400,7400,7400,7400,400,VTI
VTK,2023-12-22,29000,29500,28700,29500,5400,VTK
VTO,2023-12-22,9500,9550,9440,9480,105100,VTO
VTP,2023-12-22,48700,51900,48700,51800,1981100,VTP
VTR,2023-12-22,19800,19800,19200,19500,11400,VTR
VTV,2023-12-22,4000,4100,4000,4000,6100,VTV
VTZ,2023-12-22,8200,8200,8100,8100,221600,VTZ
VUA,2023-12-22,22800,23900,22500,22800,16100,VUA
VWS,2023-12-22,18500,19000,18500,19000,5900,VWS
VXB,2023-12-22,13300,13300,10900,12800,700,VXB
WCS,2023-12-22,184200,184200,180700,184000,5700,WCS
WSS,2023-12-22,6300,6300,6200,6200,36700,WSS
WTC,2023-12-22,14200,14200,14200,14200,100,WTC
X20,2023-12-22,8900,8900,8900,8900,100,X20
XDC,2023-12-22,68000,68000,68000,68000,200,XDC
XHC,2023-12-22,27900,27900,27900,27900,100,XHC
XMC,2023-12-22,8100,8100,7800,7900,1800,XMC
YBC,2023-12-22,7900,7900,7900,7900,4700,YBC
YBM,2023-12-22,8790,9000,8790,8950,14700,YBM
YEG,2023-12-22,11600,11700,11350,11500,383400,YEG
YTC,2023-12-22,150000,150000,113100,113100,1200,YTC
